Country,srcYear,Region or state or Union Territory (UT),Deposit of SCBs excluding inter bank deposits as at end march,Bank credit of SCBs as at end march,Additional information,YearCode,Year
India,2018,Maharashtra,2292825,2450160,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Tamil Nadu,716716,813600,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Karnataka,835662,582491,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Nagaland,10014,3479,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Northern Region,2443656,1909186,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Gujarat,640358,483921,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Mizoram,8468,3029,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,North Eastern Region,218760,85893,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Delhi,1144642,1076998,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Puducherry,16242,10358,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Dadra & Nagar Haveli,3877,1685,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,West Bengal,718580,367323,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Goa,65275,17427,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Arunachal Pradesh,13449,3362,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Punjab,347797,220941,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Andaman & Nicobar Islands,4683,1843,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Odisha,268905,101019,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Madhya Pradesh,341433,222153,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Kerala,441923,282034,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Andhra Pradesh,274566,309165,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Lakshadweep,997,82,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Himachal Pradesh,84896,26373,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Rajasthan,334008,255728,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Ladakh,,,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Western Region,3006932,2954454,,2018,"Calendar Year (Jan - Dec), 2018"
India,2019,All India,12639009,9897595,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,West Bengal,779291,385465,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Uttar Pradesh,1041507,444368,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Andaman & Nicobar Islands,5186,2173,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Madhya Pradesh,368951,250692,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Central Region,1690154,836775,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Chhattisgarh,142656,90253,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Jammu & Kashmir,118122,53697,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Puducherry,17818,11890,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Punjab,379577,228853,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Lakshadweep,1096,89,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Rajasthan,379008,308471,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Tamil Nadu,798738,880961,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Chandigarh,68300,76111,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Delhi,1210108,1300026,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Kerala,495762,326846,,2019,"Calendar Year (Jan - Dec), 2019"
