Country,srcYear,Region or state or Union Territory (UT),Deposit of SCBs excluding inter bank deposits as at end march,Bank credit of SCBs as at end march,Additional information,YearCode,Year
India,2024,Rajasthan,670970,581568,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Andaman & Nicobar Islands,7746,4110,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Mizoram,15713,7980,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Nagaland,17135,8821,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Sikkim,14748,6520,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Tamil Nadu,1344553,1518843,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Gujarat,1195365,888934,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Punjab,617489,360008,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Uttarakhand,222835,89999,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Tripura,37109,16452,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,All India,21253358,16913694,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Goa,112021,29810,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Puducherry,30226,21141,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Lakshadweep,1532,167,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Jammu & Kashmir,175967,102722,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Odisha,522543,251114,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Haryana,788798,525579,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Himachal Pradesh,150334,53601,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Eastern Region,2549474,1217906,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Southern Region,5130803,4873415,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,North Eastern Region,369678,195525,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Western Region,5990888,5620845,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Telangana,788091,870271,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Arunachal Pradesh,29205,8735,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Central Region,2830411,1615572,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Andhra Pradesh,480580,737696,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Assam,220474,127803,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Ladakh,8848,3861,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Uttar Pradesh,1745807,871585,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Daman & Diu,,,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Northern Region,4382104,3390433,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Manipur,15669,11600,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Madhya Pradesh,617814,468541,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Karnataka,1682411,1160358,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Delhi,1855609,1680085,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Bihar,524251,264746,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Dadra & Nagar Haveli,15655,6900,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Chandigarh,114089,83008,,2024,"Calendar Year (Jan - Dec), 2024"
